timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808096.249,-51.758,-20.996,-20.020,-51.270,0.000
1627808096.253,-20.996,-20.020,-15.625,-11.719,0.000
1627808096.257,0.488,-18.555,-12.207,24.414,0.000
1627808096.261,-20.996,-18.066,-16.113,-3.418,0.000
1627808096.265,-41.016,-19.043,-23.926,-47.363,0.000
1627808096.269,-17.090,-17.578,-21.973,-28.320,0.000
1627808096.272,11.230,-13.184,-15.625,17.090,0.000
1627808096.276,-9.277,-12.207,-20.508,-1.953,0.000
1627808096.280,-38.574,-15.625,-19.043,-45.898,0.000
1627808096.284,-27.344,-17.090,-13.672,-36.621,0.000
1627808096.288,2.930,-13.672,-9.277,10.254,0.000
1627808096.292,-5.371,-13.184,-10.254,3.418,0.000
1627808096.296,-43.457,-18.066,-16.602,-42.969,0.000
1627808096.300,-43.457,-16.602,-13.184,-46.387,0.000
1627808096.304,4.883,-5.859,-10.254,0.977,0.000
1627808096.308,16.113,-4.883,-10.742,19.043,0.000
1627808096.312,-24.414,-12.695,-11.719,-24.414,0.000
1627808096.315,-43.945,-16.113,-17.090,-50.293,0.000
1627808096.319,-7.324,-14.160,-16.113,-13.184,0.000
1627808096.323,12.695,-16.602,-13.184,19.043,0.000
1627808096.327,-17.578,-18.555,-12.207,-6.836,0.000
1627808096.331,-39.062,-14.160,-8.789,-41.016,0.000
1627808096.335,-12.207,-13.184,-5.859,-21.973,0.000
1627808096.339,18.066,-10.254,-6.836,19.531,0.000
1627808096.343,0.000,-14.648,-5.859,8.789,0.000
1627808096.347,-34.180,-19.531,-7.812,-37.109,0.000
1627808096.351,-25.879,-11.230,-9.766,-36.621,0.000
1627808096.354,8.301,-13.184,-11.230,10.742,0.000
1627808096.358,15.137,-23.926,-12.695,19.531,0.000
1627808096.362,-14.648,-18.555,-10.254,-20.508,0.000
1627808096.366,-30.273,-12.207,-10.742,-38.086,0.000
1627808096.370,0.000,-9.766,-10.254,-1.465,0.000
1627808096.374,16.113,-7.324,-5.371,22.461,0.000
1627808096.378,-21.973,-17.090,-12.695,-15.625,0.000
1627808096.382,-55.176,-22.461,-16.113,-46.875,0.000
1627808096.386,-26.367,-13.672,-11.719,-12.207,0.000
1627808096.390,2.930,-13.184,-9.766,20.996,0.000
1627808096.394,-23.926,-11.230,-13.184,-6.348,0.000
1627808096.397,-57.617,-12.207,-20.020,-47.852,0.000
1627808096.401,-36.621,-13.184,-14.160,-28.320,0.000
1627808096.405,-0.977,-10.742,-14.648,11.719,0.000
1627808096.409,-13.184,-14.160,-19.531,-0.488,0.000
1627808096.413,-42.969,-20.020,-19.531,-42.969,0.000
1627808096.417,-36.621,-21.484,-24.902,-46.387,0.000
1627808096.421,0.977,-13.184,-22.461,-0.977,0.000
1627808096.425,1.953,-13.184,-18.555,11.719,0.000
